thread_url,post_index,author,created_at,text
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,19,Honekawa Suneo,2026-01-12T17:26:31+0700,Ngon mà Húp vội cũng được 3 cái
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,20,thenormalguy,2026-01-12T17:31:09+0700,"lại 273 à anh thế ra đá bát tứ hải, rồi qua 289 ăn kem xôi"
https://voz.vn/t/chang-trai-%C4%90a-nang-ngo-ngang-khi-lan-%C4%91au-an-xoi-che-caramel-o-ha-noi.1196080/,1,doku2,2026-01-12T18:23:39+0700,"Lành lạnh này ra đá bát xôi chè ở 16 ngô thì nhậm, tay quàng vai ôm con ghệ ngắm phố phường nó đã gì đâu"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,1,GongJin,2025-06-27T21:24:35+0700,"Chào mấy fen, Nhân tiện có topic này ( thảo luận - [Nghiêm túc] Giờ mua VF5 chạy Xanh SM Platform + Grab vào buổi tối và 2 ngày cuối tuần có ổn không các thím? (https://voz.vn/t/nghiem-tuc-gio-mua-vf5-chay-xanh-sm-platform-grab-vao-buoi-toi-va-2-ngay-cuoi-tuan-co-on-khong-cac-thim.974773/) ) nên mình lập hẳn 1 chủ đề mới để các Fen đang chạy xe công nghệ, sắp chạy, đang có ý định,… vào tham khảo, đặt câu hỏi hoặc thảo luận. //bản thân mình đang chạy Platform của Xanh và Grab. Xe mình đang sử dụng là Vinfast vf5. Nên có thể giúp các fen về mặt thông tin được (plf, grab, bee, room, sân,…) //fen nào ko có ý xây dựng hay xỏ xiên thì lượn nhé. Comment mất thời gian."
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,2,GongJin,2025-06-27T21:24:52+0700,"mình đang chạy chính ở Hà Nội. Sáng ngày thường mình sẽ bắt đầu chạy từ 7:30 sau khi đưa con đi học. Chiều mình về lúc 4:30 để đón con về, tắm rửa cơm nước. Trung bình 1 ngày mình cầm về trung bình 1tr đông lào."
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,3,GongJin,2025-06-27T21:25:02+0700,Xin #3
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,4,ngtrfly,2025-06-27T21:35:09+0700,Cũng định làm con vf5 chạy kiếm tí mà sợ lười quá app méo nổ
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,5,carangems,2025-06-27T21:59:09+0700,Thằng em gần nhà tôi chạy 6plus. Chạy Sg + đi tỉnh nếu khách quen yêu cầu. Chạy plf + grab + tada. Mà hắn chuyên chạy từ 11h trưa -> 2h sáng (chạy buổi tối cước cao + chạy nhanh (do sau 10h hầu hết biển cấm hết hiệu lực) 1 tháng hắn kiếm tầm 40 củ
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,6,GongJin,2025-06-27T22:16:17+0700,"Nổ bt fen, tôi toàn lọc cuốc xanh mà. Dưới 100k tôi cho lượn hết"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,7,GongJin,2025-06-27T22:16:57+0700,Có lượng khách quen rồi thì quá oke fen.
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,8,GongJin,2025-06-27T22:18:37+0700,À tiện đây fen nào thích thử sức tuyến cố định hàng ngày thì pm mình giới thiệu cho mà xin vào lấy slot Smartcity (smc) => symphony 7h hàng ngày trừ chủ nhật. Vin greenbay mễ trì => symphony or techno Ga hạ đình => symphony or techno Cước đều là 200k / chuyến
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,9,GongJin,2025-06-30T21:33:33+0700,Phập lên cho anh em
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,10,khanghk,2025-06-30T21:35:57+0700,Gần khu mình thấy AE gác giò đông và than như vạc.
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,11,davidnguyen86,2025-07-01T06:22:16+0700,Ở HN hoặc HCM tháng chạy dưới 60tr thì nên chọn nghề khác
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,12,khanghk,2025-07-01T08:18:52+0700,Bào khiếp 1w cỡ này luôn 1 tháng 60tr là dư luôn.
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,13,hx70f,2025-07-01T09:16:32+0700,kiếm gớm vậy. Chỉ biết ước. Không biết anh em đà nẵng thế nào.
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,14,magaten,2025-07-01T09:26:31+0700,"Cái này là cầm về tay hả bác, có phải chi cho chi phí nào khác không"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,15,GongJin,2025-07-01T09:33:26+0700,Đà nẵng là đất du lịch mà còn ko sống dc sao fen
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,16,hx70f,2025-07-01T09:38:08+0700,"hem biết fen. Mình k chạy nên chịu, lên đây hỏi thử"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,17,GongJin,2025-07-01T11:15:21+0700,"Hỏi anh em ở đn ngon hơn chứ, chứ topic này chưa chắc đã có anh em đn"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,18,Seanzen,2025-07-01T11:20:48+0700,Ngon nhỉ. Hay là đổi nghề
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,19,hx70f,2025-07-01T11:21:44+0700,Vua nghề là đây chứ đâu
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,20,hx70f,2025-07-01T11:22:42+0700,Vào đây cho xôm tụ chứ. Vua nghề cmnr. Thằng em 96 bách khoa bỏ vơ khí qua IT cuối cùng điểm dừng là ở platform
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,1,viphotca1,2025-07-01T11:24:56+0700,Ông up ảnh 1 tuần là ở Đà Nẵng mà các bác.
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,3,davidnguyen86,2025-07-10T01:14:35+0700,"Đi 800km để làm gì nhỉ? Sau 3 năm vần xe điện, tôi thấy hợp lí nhất ở VN là tầm 400-450km, ở nc ngoài thì tôi ko biết. Chạy xa pin to thì sạc lâu chứ chẳng bổ béo gì, chỉ cần 20%-80% chạy đc 300km là OK rồi."
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,4,GongJin,2025-07-10T06:28:04+0700,"Cứ trung bình cắm 20p chạy 200km là oke rồi. Cứ mơ tưởng 800-1000km làm gì, chết tiền cục pin"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,5,turquoise.marble,2025-07-10T08:11:12+0700,"à khỏe hơn ấy mà bạn còn hiện tại 1 tuần mình sạc 1 lần, vẫn ổn, ko vấn đề gì"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,6,khanghk,2025-07-10T10:09:28+0700,Vậy ước mơ pin module cho rồi vào trạm tháo pin thay pin mới chưa tới 5p là lại chạy ầm ầm như xe xăng luôn.
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,8,noichungkhongquantamlam,2025-07-14T18:37:21+0700,cà rốt bảng xăng chạy ổn ko ae
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,9,kenshin2012,2025-07-14T18:54:32+0700,Tầm này mà lấy xăng chạy dịch vụ thì tính kiểu gì thì tính cũng không lời bằng điện. Nên anh cứ cân nhắc thôi.
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,10,noichungkhongquantamlam,2025-07-14T19:27:12+0700,"em tính lấy xe nhà chạy kiếm thêm bác ạ, nếu điện thì mua thêm con điện chạy"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,11,GongJin,2025-07-14T19:51:23+0700,"Theo mình thấy xăng hiệu quả là có tệp khách hàng thường xuyên (kiểu xe ghép, bao xe) Chứ chạy grab giờ ko chạy khéo thì nuôi hết grab"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,12,duy289,2025-07-14T20:12:00+0700,bh mà xe nhà xăng chạy thì hết h hành chính hoặc ca chiều tối muộn cầm về tầm bn các bác
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,13,Seanzen,2025-07-14T20:37:41+0700,"Không. với chính sách free sạc như hiện tại thì chạy điện ngon hơn, mỗi tháng tiết kiệm 3->5 củ tiền xăng đấy. Lâu dài chưa biết."
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,14,GongJin,2025-07-14T20:43:08+0700,"Bỏ đi, vì tắc đường chạy dc mấy cuốc. Rồi thu về chả đủ nuôi xe"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,15,Seanzen,2025-07-14T20:44:50+0700,Giờ chạy bán thời gian kiểu này khó nổ đơn thì phải. Hồi mới đầu công ty tôi có mấy ông grab bike/uber chạy bán thời gian nổ ầm ầm. Mà sau này hiếm lắm
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,16,duy289,2025-07-14T20:45:13+0700,"vậy là chỉ combo xe điện vs chạy như bác chủ là ok pk ạ , e sk k tốt chạy ngày 500 e về r"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,17,GongJin,2025-07-14T20:58:30+0700,"Thật ra hiện tại xe đang nhiều hơn khách fen tin ko? Tôi ko phải đang chạy xe điện mà tôi khuyên fen vậy. Grab tổng chiết khấu đang rơi vào cỡ 30% Fen tự tính xem con vios với giờ cao điểm chạy nổi mấy cuốc và tiêu hao nhiên liệu như nào. Thêm nữa sau 1 ngày làm việc mệt mỏi, fen có đảm bảo rằng mình đi xe còn minh mẫn ko?"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,18,GongJin,2025-07-14T21:01:42+0700,"Thêm nữa xanh nó cũng mới ra chương trình xếp hạng tài xế như grab á, gắn bó, chạy chăm thì thêm quyền lợi, thêm thu nhập. Nên chạy part-time thì cần biển sang màu vàng (tốn chi phí, đăng kiểm, phí htx,…)"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,19,duy289,2025-07-14T21:02:01+0700,à k ý e chạy full time thôi e đang hỏi để nhảy sang chạy n e chạy ngày tầm 8 -10 tiếng thoi
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,20,GongJin,2025-07-14T21:03:22+0700,"8-10 tiếng thì cầm về 1 củ oke. Mình chạy xe điện nhé. Xe điện hơn xăng ở 1 cái là thêm dc app xanh, thêm khách."
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,1,Clever.heart,2025-07-14T21:03:28+0700,"Chạy dịch vụ giờ xe điện là lợi nhất rồi. Giờ thì free sạc, sau không free sạc thì vẫn thu lời hơn xe xăng. Miễn cục pin nó bền là được"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,2,GongJin,2025-07-14T21:04:51+0700,@duy289 Thật sự quan tâm thì mai mình gửi link nhóm Grab xe xăng cho. Đội grab xăng chạy ngọc ngày vẫn 2 củ. Nể luôn
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,3,Seanzen,2025-07-14T21:05:13+0700,Cái này thì tôi không rõ. Cái này thì thằng grab nó làm lâu rồi thì phải đâm ra ai chạy bán chuyên thì khả năng nổ đơn cực thấp. full time mà chưa có xe thì còn chờ gì không bú xe vin. Dù tôi anti vin. 2 năm free sạc coi như tiết kiệm cả trăm triệu rồi. Còn đang sẵn xe thì tính toán thêm
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,4,Seanzen,2025-07-14T21:06:23+0700,Giờ vẫn chạy được nhiều app à fen. Đợt ngồi xe thằng ku bee hỏi nó có chạy nhiều app không nó bảo chạy nhiều app khó nổ đơn
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,5,GongJin,2025-07-14T21:06:24+0700,Xe mình là xe quy đổi tiền mặt. Tháng 4 củ hơn chút tiền điện. Nếu quy ra đổ xăng thì tầm 13 củ
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,6,Seanzen,2025-07-14T21:07:27+0700,vcl chạy tốn vậy cơ à.
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,7,GongJin,2025-07-14T21:07:31+0700,"Chạy nhiều app mà. Nhưng Bee là đáy xã hội rồi. Tất cả các app khoá thì chỉ còn bến đỗ là Bee, khách của Bee cũng dạng đáy xã hội fen ạ"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,8,GongJin,2025-07-14T21:08:40+0700,Tôi chạy vf5 đó fen cứ tính trung bình ngày 120k tiền sạc đi. Nếu đi tỉnh thì sạc đôi lần là bt.
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,9,GongJin,2025-07-14T21:10:16+0700,"@Seanzen Xe biển trắng nếu dc quy đổi sạc ra vnd thì chọn vnd Xe vàng thì auto chọn sạc free nhé, quy ra tiền lỗ luôn"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,10,GongJin,2025-07-14T21:17:05+0700,"Xe tui dc free từ 2/7 nhé. À quên, xe các fen mua pin ra hoá đơn trước 1/3/2025 thì dc free sạc tới cuối 2027 nhé. Voucher sẽ đc cập nhật khi hết 30/6/27"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,11,Seanzen,2025-07-14T21:21:36+0700,Tôi hay chọn bee ôm nhất. taxi thì grab vs xanh cái nào rẻ hơn thì bú cái đấy
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,12,Clever.heart,2025-07-14T21:21:37+0700,"Tôi chạy con xe xăng 5 năm rồi, mà giờ tới thời điểm bảo dưỡng, hãng nó vẽ nào buri, dầu hộp số, phanh, dung dịch, tốn tiền bảo dưỡng thật. Đang tính đổi mịa lên con vf6s, tôi chủ yếu đi loanh quanh trong phố, range con vf6s chắc 1 tuần tôi mới sạc 1 lần, nghe nói đổi xăng lấy điện là được giảm thêm tẹo nữa"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,13,GongJin,2025-07-14T21:26:31+0700,Tôi thì xe máy vẫn chọn bee. Thỉnh thoảng chọn xanh. Mục đích chủ yếu là đi giờ cao điểm fen ạ
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,14,GongJin,2025-07-16T06:57:24+0700,1 sms dc cho là trong group chát của plf hcm
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,15,hx70f,2025-07-16T10:05:02+0700,"này chắc khi cả 3 chỉ số dưới ngưỡng, chứ nhận 3 cuốc 4 sao dễ ẹc à."
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,16,GongJin,2025-07-16T10:31:33+0700,Nó ép tỷ lệ như kia gần như xe plf bỏ tiền túi ra mua = vs tỷ lệ của xe cty ấy. Mà plf nó bắn cho toàn rác rưởi
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,17,hx70f,2025-07-16T10:37:08+0700,là không còn thơm nữa à fen?
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,18,GongJin,2025-07-16T10:39:51+0700,"Yep fen cứ tính ntn nhé. Cuốc ngon hầu như xe cty húp, plf râu ria vẫn có Tỷ lệ nhận thì ép 2 thằng = nhau, vậy bỏ tiền ra mua xe để hầu nó à. Nó còn đang ve vãn anh em mua vf8 hoàn lương :v"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,19,davidnguyen86,2025-07-16T16:41:26+0700,"Như Grab thôi, ko có gì bất ngờ cả."
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,20,Yeuthamthatkho,2025-07-16T16:43:06+0700,Vf8 hoàn lương không cho chạy app xanh thì gia đình mua được mấy người đâu
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,1,GongJin,2025-07-16T17:29:53+0700,"G nó còn công bằng chán, nếu rác của G nó cũng bắn ngay điểm đỗ hoặc nối ngay chỗ trả"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,2,davidnguyen86,2025-07-17T07:40:07+0700,"Còn tùy, Grab nhiều xe nên nó bắn gần, cháy xe nó bắn 2-3 km hoài, chỗ tôi gần đây đám xe xăng nó tắt hết tiết kiệm nên giờ tk nó nổ toàn 1.8-2km ko, giống hệt ông Xanh )"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,3,paperman1993,2025-07-17T08:55:11+0700,"Mình quan tâm, cho mình xin link nhé bác."
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,4,ngtrfly,2025-07-17T12:44:39+0700,"hình như giờ có kiểu chạy đối tác, xe của xsm mình ăn 60 40 à các bác"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,5,GongJin,2025-07-17T14:35:19+0700,"Cầy, cầy dc nhiều thì ăn lắm, còn ít thì có cái nịt ấy fen. Check list như xe cty luôn ko khác biệt"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,6,NdtCreed,2025-07-23T14:46:58+0700,"đợt này tính chất công việc e có rảnh hơn, mấy a cho hỏi muốn đaqng ký platform làm taxi cho biết với quen việc lái xe, đường hà nội tuần chạy 2-3 buỏii tối thì platform có ép chỉ tiêu k nhỉ, thu nhập có thêm dc vài tr trả nợ bank k mấy a nhỉ coi như 2 buổi 1 tuần"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,7,GongJin,2025-07-23T16:05:29+0700,Chạy 1 cuốc / 30 ngày vin cũng chả ý kiến gì. 2 buổi ko rõ mấy tiếng nên ko tư vấn dc cho fen
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,8,3 bich danh truoc,2025-07-24T08:35:12+0700,"Mua vf5 chạy thêm buổi tối và cuối tuần ổn k fen. Mình làm văn phòng hành chánh; t7, cn nghỉ rảnh rỗi nên tính chạy thêm"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,9,davidnguyen86,2025-07-24T13:07:33+0700,Xe cá nhân thì thích chạy như nào thì do mình quyết định mà
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,10,Deptraitube.,2025-07-24T15:18:54+0700,"Chạy thế hình như a lại phải đăng kí biển vàng, tôi nghĩ k ổn fen à"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,11,3 bich danh truoc,2025-07-24T15:19:41+0700,Thì xác định chạy app là phải đổi biển vàng mà. Chứ chân ướt chân ráo làm gì có khách quen đâu fen.
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,12,mhbbnsbtcm,2025-07-24T15:35:48+0700,HCM chạy như v tháng 8-10 củ rất chi là bth
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,13,GongJin,2025-08-06T09:08:50+0700,1 trong những câu chuyện chạy xe của mình
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,14,Seanzen,2025-08-06T09:17:21+0700,Gặp nhiều hoàn cảnh éo le nghĩ cũng buồn
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,15,GongJin,2025-08-06T09:23:00+0700,"Chuẩn fen ạ. Nên cuốc đưa / đón có địa điểm là viện K, viện Huyết học tôi đều ko nhận. Cuốc ra viện nhi, sản thì 20k cũng nhận, vnvc cũng vậy"
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,16,Seanzen,2025-08-06T10:19:09+0700,Không biết thì thấy đời đẹp. Đợt trước ra huyết học thăm người thân thấy mấy đứa nhỏ cỡ 3 4 tuổi đầu trọc lóc thấy thương voãi
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,17,GongJin,2025-08-06T11:30:55+0700,Viện huyết học nằm ở đó đa số là trẻ em mà fen
https://voz.vn/t/platform-grab-bee-etc-anh-em-thao-luan-vao-%C4%91ay.1117332/,18,frazier,2025-08-06T12:39:12+0700,Chạy biển trắng đc ko các fene
